pays,Services voyage (% exports de services),Accès électricité urbain (%),Accès électricité (% pop),Pop. exposée pollution PM2.5 (%),Densité de population (hab/km²),Pop. en zone inondable < 5m (%),Pop. dans grandes agglomérations (%),Inflation (%),Accès Internet (% pop),Croissance du PIB (%),PIB par habitant (USD),Taux d'alphabétisation (%),Accès eau potable (% pop),Eau potable sécurisée (% pop),Médecins (pour 1000 habitants),Mortalité pollution de l'air (pour 100k),Accès sanitaires de base (% pop),Accès lavage des mains (% pop),Mortalité accidents de la route (pour 100k),Dépenses santé par habitant (USD),Pauvreté < 3$/jour (% pop),Pauvreté seuil national (% pop),Revenu 40% les plus pauvres ($/jour),Revenu moyen par habitant ($/jour),Taux de chômage (%),Espérance de vie (années),Population rurale (% total),Population urbaine (% total),Arrivées touristes internationaux (nb),Départs touristes internationaux (nb),Recettes tourisme (USD),Recettes tourisme (% exportations),Recettes voyages touristiques (USD),Dépenses tourisme (USD)
AGO,9.92333136036058,77.9,51.1,100.0,29.4777460495709,1.53305214067655,25.2853327026197,13.6441017767715,44.7581,1.26330814020108,2916.13663284275,66.2399978637695,67.2244252588497,,0.244,142.8,50.2951359158799,36.7834496979734,26.1,76.07118225,39.3,32.3,,,14.051,64.617,30.1484967779543,69.8515032220457,218000.0,,19000000.0,0.090457043181433,16000000.0,691000000.0
ALB,63.535356320839,100.0,100.0,99.9999999999643,88.1056569343066,9.15110167982407,,4.75834555150039,83.1356,4.01541716935742,9730.86921906893,97.6800003051758,95.107207538325,70.7653945370075,1.879,92.5,99.2994944120586,,11.7,590.62799072,0.3,19.7,8.03,14.85,10.669,79.602,41.7893913862143,58.2106086137857,2658000.0,2907000.0,1243000000.0,35.9164177962174,1134000000.0,805000000.0
ARE,38.5910931174089,100.0,100.0,100.0,147.616882568291,26.7198219315291,61.0987422345304,1.62670837213248,100.0,4.30118228020602,49850.6872175164,98.0599975585938,99.9999970727207,98.6392693175614,2.992,70.0,99.0890518596042,,8.9,2401.52026367,0.0,,45.24,78.78,2.151,82.909,14.3319300997474,85.6680699002526,8084000.0,6458000.0,24615400390.625,,,15085000000.0
ARG,33.18536741939,100.0,100.0,93.8528246666324,16.6399559321662,1.02928663774484,43.7489867068455,133.488935594175,89.229,-1.85578803046339,14261.8465667948,99.1399993896484,99.0413738458383,,5.106,29.7,94.8209557204549,,14.1,1456.98596191,1.2,41.7,9.82,27.9,6.139,77.395,7.8054867742093,92.1945132257907,7399000.0,15352000.0,1702000000.0,2.64132946574952,1616000000.0,2746000000.0
ASM,,,,100.0,237.605,4.62737256653892,,,,1.73501577287065,18017.4589383973,,100.0,90.5383360522023,,,62.119697982607,,,,,,,,,72.852,18.6278457291778,81.3721542708222,899.999976158142,,22000000.0,,22000000.0,
AUS,60.1687047101976,100.0,100.0,24.8935837696774,3.46591948538875,3.6013357263928,61.3114546996799,5.5970149253731,97.0631,3.58382100798981,65058.3773146674,,99.9696841388095,,4.086,9.8,100.0,,4.9,6980.38525391,1.0,,34.15,70.3,3.668,83.0512195121951,12.5133044346235,87.4866955653765,1828000.0,2832000.0,26234000000.0,8.70537003723551,25667000000.0,7654000000.0
AUT,27.3254873343292,100.0,100.0,85.0515376653505,110.661185167232,0.0,21.6307785541036,7.81413417002832,95.3347,-0.786244288594673,56579.504175468,,100.0,98.8939971369106,5.515,17.5,99.9722421586423,,4.9,6267.93164063,0.5,14.8,42.78,81.63,5.264,81.5414634146342,30.7734641723979,69.2265358276021,15091000.0,3964000.0,15362000000.0,6.85054108492961,13881000000.0,5551000000.0
AZE,23.7406208832121,100.0,100.0,100.0,122.854906231095,0.0,23.9542452312684,8.78543049849081,89.0,1.35447749115767,7133.02838048328,99.7799987792969,96.8490385896936,57.4504580406586,3.185,125.2,97.9482163589564,95.3728973922614,6.7,299.81060791,,6.0,,,5.64,74.429,41.4924649516298,58.5075350483702,796000.0,1165000.0,340000000.0,2.23476091933944,304000000.0,439000000.0
BDI,2.37247582572169,65.0,11.6,100.0,533.078271028037,0.0,,26.9414835762453,11.0784,3.254768974261,250.627253097255,71.4078166079164,65.8069881708757,,0.078,205.9,44.6456125902738,6.35970783900224,35.5,28.14028931,74.2,51.0,,,0.911,63.651,76.4465231627724,23.5534768372276,299000.0,,3700000.04768372,1.5700292147908,3900000.09536743,49000000.0
BEL,6.56248602268491,100.0,100.0,91.9485403518636,386.303731881682,5.48301366791854,26.988298588126,4.04901077613941,94.6263,1.71412195515242,55291.4754541329,,99.9999973101139,99.5609157233581,3.574,15.3,99.4862165648512,,5.8,5931.01464844,0.1,12.3,41.04,69.92,5.547,82.3975609756098,12.448507363228,87.551492636772,2584000.0,5850000.0,7447000000.0,1.77483902178966,6603000000.0,13928000000.0
