Classement,Pays,Indice de Qualité de Vie,Indice du Pouvoir d'Achat,Indice de Sécurité,Indice des soins de santé,Indice du Coût de la Vie,Rapport Prix de l'immobilier/Revenu,Indice du Temps de Trajet dans Trafic,Indice de pollution,Indice Climatique
,Luxembourg,219.32,182.53,65.72,75.33,62.43,8.88,27.18,23.27,82.62
,Pays-Bas,207.48,124.91,73.58,79.28,63.12,7.69,23.48,21.38,87.01
,Danemark,205.57,127.2,73.89,78.47,72.27,6.58,27.81,20.75,83.74
,Oman,204.3,139.8,81.77,65.11,42.37,2.88,20.96,35.04,67.22
,Suisse,203.95,158.68,73.91,71.73,101.1,10.4,32.93,23.31,82.04
,Finlande,199.9,117.95,73.82,77.49,63.24,8.42,25.79,11.9,61.14
,Islande,199.71,120.32,74.61,67.66,82.95,6.13,21.31,15.96,68.81
,L'Autriche,190.77,102.45,70.59,77.15,65.07,11.04,23.94,21.16,81.77
,Norvège,189.0,114.68,67.06,75.98,75.97,7.85,26.43,18.2,59.99
,Suède,186.71,122.56,51.69,68.29,59.31,7.72,29.1,17.7,73.58
,Australie,185.47,127.45,52.82,73.08,70.19,8.41,37.99,27.01,93.8
,États Unis,185.14,142.32,50.79,68.01,70.37,3.32,32.98,36.52,80.41
,Allemagne,184.96,120.21,61.01,71.95,62.22,9.41,29.97,28.72,82.04
,Nouvelle-Zélande,184.35,121.01,52.12,68.62,64.63,8.76,33.24,26.3,95.46
,Japon,183.84,117.0,77.34,79.7,46.12,11.34,40.63,38.51,85.26
,Estonie,183.5,80.35,76.4,75.91,52.02,11.24,21.78,16.95,64.28
,Qatar,182.93,161.09,83.96,73.43,51.35,5.16,29.13,60.01,36.03
,Espagne,180.77,92.09,64.23,77.65,47.29,8.26,26.46,35.38,91.68
,La Slovénie,177.68,80.93,76.39,66.3,49.91,12.52,25.16,22.03,76.11
,Emirats Arabes Unis,177.46,127.93,84.44,70.36,55.84,3.93,36.2,48.23,47.08
,Croatie,172.15,74.99,74.38,65.02,45.54,12.77,25.81,30.84,89.23
,République Tchèque,171.94,83.97,73.19,75.61,46.63,12.72,29.07,34.9,80.09
,Lituanie,170.64,75.49,67.53,74.95,47.05,11.93,23.38,26.35,67.76
,Royaume-Uni,170.55,115.19,52.24,73.21,61.95,9.09,34.69,40.45,86.0
,Arabie Saoudite,170.48,134.89,76.09,61.08,45.31,3.14,30.11,62.51,55.31
,Portugal,167.5,56.88,68.83,72.53,45.12,13.32,28.45,28.74,97.6
,La Belgique,163.54,109.79,50.3,75.6,61.05,6.96,35.3,49.49,83.85
,Singapour,162.32,111.11,76.99,71.92,76.68,18.69,40.99,32.52,57.45
,Irlande,161.31,101.05,53.17,51.35,64.38,7.23,37.79,34.42,87.83
,Canada,161.29,103.75,54.54,69.09,64.77,10.39,33.59,29.66,54.97
,France,159.83,102.4,44.68,77.82,63.72,11.15,34.84,43.68,88.39
,Lettonie,159.37,66.92,62.67,62.44,49.14,8.96,28.88,30.44,74.7
,Taïwan,158.46,95.1,82.79,86.37,45.22,20.04,32.22,64.47,84.38
,Israël,157.64,99.41,68.04,73.32,62.69,14.34,36.41,56.84,93.72
,Chypre,154.78,71.37,67.37,56.8,54.72,8.09,23.28,55.33,95.74
,Slovaquie,154.4,68.32,69.17,58.54,46.72,14.46,27.5,37.44,80.72
,Koweit,152.55,161.79,67.18,57.93,42.12,7.47,35.47,69.37,20.22
,Corée du Sud,149.47,109.42,75.2,82.97,60.12,20.7,40.55,61.36,68.39
,Pologne,149.35,85.78,70.86,57.71,40.84,11.57,31.76,55.59,75.38
,Afrique du Sud,147.08,102.84,25.16,63.78,34.53,3.26,38.71,56.75,95.25
,Italie,145.58,78.27,52.9,65.31,56.19,10.23,32.41,53.82,88.9
,Uruguay,142.74,56.29,47.9,68.45,54.11,9.96,38.71,43.59,98.04
,Hongrie,139.73,63.38,66.68,54.01,41.75,13.5,35.81,46.69,78.41
,Bulgarie,139.61,68.4,63.45,57.99,38.31,9.32,29.07,63.09,81.22
,Roumanie,137.36,63.8,67.73,56.35,37.51,10.4,33.32,58.75,76.26
,Hong Kong (Chine),134.53,109.33,78.41,65.96,70.79,29.97,41.9,67.01,83.64
