pays,Services voyage (% exports de services),Accès électricité (% pop),Densité de population (hab/km²),Pop. dans grandes agglomérations (%),Accès Internet (% pop),PIB par habitant (USD),Accès eau potable (% pop),Médecins (pour 1000 habitants),Dépenses santé par habitant (USD),Pauvreté < 3$/jour (% pop),Pauvreté seuil national (% pop),Revenu 40% les plus pauvres ($/jour),Revenu moyen par habitant ($/jour),Espérance de vie (années),Population rurale (% total),Population urbaine (% total),Arrivées touristes internationaux (nb),Départs touristes internationaux (nb),Recettes tourisme (USD),Recettes tourisme (% exportations),Recettes voyages touristiques (USD),Dépenses tourisme (USD),date_maj
AGO,9.92333136036058,51.1,29.4777460495709,25.2853327026197,44.7581,2916.13663284275,67.2244252588497,0.244,76.07118225,39.3,32.3,,,64.617,30.1484967779543,69.8515032220457,218000.0,,19000000.0,0.090457043181433,16000000.0,691000000.0,2026-03-26
BDI,2.37247582572169,11.6,533.078271028037,,11.0784,250.627253097255,65.8069881708757,0.078,28.14028931,74.2,51.0,,,63.651,76.4465231627724,23.5534768372276,299000.0,,3700000.04768372,1.5700292147908,3900000.09536743,49000000.0,2026-03-26
BGD,7.11329314420839,99.5,1319.17979689183,16.6733410319969,44.5027,2551.01773827307,98.6816683567859,0.722,53.46432495,5.9,18.7,2.96,5.62,74.672,67.8421534963166,32.1578465036834,323000.0,1460000.0,217899993.896484,0.566327447584205,217000000.0,659000000.0,2026-03-26
BWA,69.4329815359525,76.0,4.37641204806522,,81.36,7826.35376483298,91.7236550803662,0.379,489.59677124,21.4,16.1,2.86,11.1,69.163,32.9787344650136,67.0212655349864,1830000.0,,217000000.0,4.56136335506177,211000000.0,91800003.0517578,2026-03-26
CAN,29.408234935715,100.0,4.56079784268436,44.8021259828612,93.9564,54220.3285039875,98.2905039744417,2.819,6186.65234375,0.2,,40.8,77.73,81.6465853658537,17.4749435591654,82.5250564408346,32430000.0,37845898.4375,19994000000.0,3.65670128143171,11256000000.0,41247000000.0,2026-03-26
CRI,32.2235243287816,100.0,99.9906972189581,28.6354292653547,85.3951,16942.0268119375,99.8143035929016,2.687,1163.30224609,1.5,24.4,8.93,27.98,80.799,21.1180606358298,78.8819393641702,1146500.0,324000.0,1479000000.0,7.40531362400925,1356000000.0,697000000.0,2026-03-26
CUB,,100.0,106.165038535645,19.5003943309627,71.275,9605.27914559614,95.0236345510277,9.542,1199.35327148,,,,,78.085,22.8740127703679,77.1259872296321,1086000.0,271000.0,1152000000.0,,1137000000.0,,2026-03-26
FRA,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,2026-03-26
GAB,9.0702920197525,94.1,9.64329956921644,,71.9256,7802.82433276138,88.479261326667,0.521,252.98246765,3.8,33.4,,,68.337,8.3624037202687,91.6375962797313,,,28700000.7629395,0.532471529483251,25000000.0,346000000.0,2026-03-26
GHA,11.9662073422835,89.5,148.49676310689,19.0254746120166,69.9445,2383.90410483418,88.8910495956232,0.266,70.25730896,39.0,23.4,1.81,5.07,65.498,42.1925262225346,57.8074737774654,897000.0,,191000000.0,0.865150905271818,110000000.0,946000000.0,2026-03-26
GUY,75.4045326484108,98.9,3.91376811594203,,81.7221,20473.7002190617,95.644614726529,1.387,505.03240967,,,,,70.18,73.5348542720122,26.4651457279878,86400.0015258789,,,,24000000.0,,2026-03-26
HKG,21.434219656282,100.0,7177.2380952381,100.0,95.9778,50562.3633144379,100.0,,,,,,,85.2473170731707,0.0,100.0,3569000.0,8261000.0,32697000000.0,5.06906418805101,2839000000.0,26498000000.0,2026-03-26
KEN,39.509464216411,76.2,95.2681371231706,12.2256557459122,35.0,1942.58802756191,64.7820788557808,0.289,84.958992,46.9,39.8,1.98,4.34,63.646,68.3669659183571,31.6330340816429,2049000.0,,1762000000.0,15.3601464458292,1007000000.0,,2026-03-26
KGZ,54.9649380173491,100.0,37.0164233576642,,88.4701,2138.22210211478,94.3000416733557,1.568,96.65081787,2.7,29.8,4.35,7.39,72.2487804878049,65.293560824638,34.706439175362,8508000.0,5314000.0,195000000.0,8.00683978454576,151000000.0,185000000.0,2026-03-26
LKA,38.180356791846,100.0,356.239896540576,,51.2,3798.89016573011,90.1950284141998,1.136,134.23654175,2.7,14.3,4.9,10.58,77.483,79.8544651557537,20.1455348442463,540000.0,305000.0,1076000000.0,8.22453929535838,682000000.0,803000000.0,2026-03-26
LSO,63.3572653752999,57.3,76.135441370224,,47.991,916.282976983803,77.481451488906,0.235,122.63982391,41.9,49.7,,,57.375,57.3218403195215,42.6781596804785,1142000.0,,,,5000000.0,277000000.0,2026-03-26
LUX,4.21245674569761,100.0,258.862052624628,,99.3479,133230.619178899,99.9999993622078,2.984,7510.99414063,0.1,17.3,50.65,106.1,83.3585365853659,5.1984699679213,94.8015300320787,525000.0,1460000.0,4454000000.0,2.96570117034456,4189000000.0,2458000000.0,2026-03-26
MCO,,100.0,18692.8982725528,,99.1497,256799.788612806,100.0,8.609,8004.16845703,,,,,86.372,0.0,100.0,159000.0,,,,,,2026-03-26
MDG,32.1404790343665,39.4,53.6196837401169,12.412720991955,20.3671,508.718427705591,54.4969430342798,0.172,17.44003487,69.2,75.2,,,63.632,68.0200561139054,31.9799438860946,87099.9984741211,,202000000.0,7.80155066853256,145000000.0,97000000.0,2026-03-26
MDV,94.8852203653254,100.0,1765.08053691275,,84.6851,12587.6126038651,99.7301882656937,2.235,1159.02819824,0.0,5.4,,,81.041,58.4903167066027,41.5096832933973,555000.0,,1409000000.0,78.8690076112034,1398000000.0,106000000.0,2026-03-26
MOZ,19.6097029909906,36.0,42.7721457819375,8.96442294313451,19.8434,622.000297682823,64.5157588929919,0.175,52.96166611,81.4,65.0,0.79,2.38,63.611,64.2850216851593,35.7149783148407,2033000.0,,113000000.0,2.51037793162729,90000000.0,95000000.0,2026-03-26
MWI,10.4247929804357,15.6,223.84898175647,6.04760638048354,17.9881,633.214767978695,72.2285522528925,0.054,41.26664734,75.4,50.7,1.16,2.59,67.353,83.0251253334644,16.9748746665356,871000.0,,35000000.0,2.67516341667285,30000000.0,119000000.0,2026-03-26
NIC,47.4089276552078,88.3,56.702783779292,16.0400362681764,58.2314,2609.44492072931,,0.682,216.55238342,6.6,24.9,4.62,12.91,74.947,40.8749046325684,59.1250953674316,474000.0,325000.0,,,199000000.0,102000000.0,2026-03-26
OMN,42.849304574918,100.0,16.3142778675283,32.6843152939564,95.2517,21027.7384778886,92.559888964675,1.992,732.04089355,,,,,80.031,20.4297026771068,79.5702973228932,869000.0,1657000.0,669000000.0,1.87440359059699,441000000.0,1236000000.0,2026-03-26
PAK,11.5994120076556,95.6,321.067474833956,19.6667418100831,27.3759,1360.32417758419,90.6815872292919,1.16,30.48608398,16.5,21.9,3.09,5.43,67.649,61.1808138127209,38.8191861872791,966000.0,,765000000.0,2.79880745192545,439000000.0,1245000000.0,2026-03-26
PAN,30.8839574312676,97.0,60.1072930709086,44.3366865085106,68.5485,18797.1933994045,95.0598439257546,1.625,1557.81286621,3.7,21.7,8.89,30.37,79.594,34.1398728823916,65.8601271176084,647000.0,401000.0,1841000000.0,9.29636264630468,1117000000.0,601000000.0,2026-03-26
PHL,18.8662543546901,98.0,385.321122178623,14.4628040656099,83.7661,3804.08274131097,95.465506033898,0.792,194.05484009,5.3,15.5,4.37,9.93,69.833,44.8757283831149,55.1242716168851,1483000.0,1483000.0,2769000000.0,3.45979194990587,2010000000.0,4872000000.0,2026-03-26
PLW,84.6964164539374,100.0,38.5369565217391,,,15610.8231931032,99.5299685485284,1.808,1683.8458252,,,,,69.269,20.8468008561153,79.1531991438847,18399.9996185303,,123000000.0,93.5482153586395,116000000.0,23299999.2370605,2026-03-26
PRT,47.7343491046383,100.0,115.475189289738,40.887850776514,85.7901,27634.6183139773,99.2762210572337,5.851,2762.26293945,0.4,16.4,20.44,41.07,82.2804878048781,38.7951347366336,61.2048652633664,4208000.0,680000.0,10522000000.0,12.2444835483225,8835000000.0,3536000000.0,2026-03-26
PRY,25.7458831459233,99.8,17.282671943072,51.2921699800092,78.0948,6299.99026533713,99.6009612348131,3.893,526.5098877,2.4,22.7,6.93,18.2,73.844,30.6533918266306,69.3466081733694,1077000.0,214000.0,104000000.0,0.842867466880354,81000000.0,226000000.0,2026-03-26
RWA,53.9729058197817,63.9,565.645358735306,8.94015258622129,34.2005,1027.03446826565,60.8290423575481,0.09,52.65630722,38.6,27.4,1.39,3.5,67.785,71.1444689354523,28.8555310645477,1634000.0,,212000000.0,10.9903672762396,120000000.0,127000000.0,2026-03-26
SUR,16.8872409793815,99.6,3.91810706046897,,78.3958,5521.97602122638,97.9952348294942,1.355,297.04589844,2.2,17.6,,,73.631,34.2437591552734,65.7562408447266,279000.0,,19000000.0,0.776653253267587,15000000.0,64000000.0,2026-03-26
SYC,54.2085132697227,100.0,260.376086956522,,87.4009,18262.7115849287,97.5539573025066,6.598,766.28778076,0.7,25.3,11.79,23.97,74.9585365853659,54.9028918678342,45.0971081321658,124500.0,19000.0,228000000.0,18.3911664604101,221000000.0,39000000.0,2026-03-26
TGO,14.976443683236,59.2,171.067052767053,21.2977560894452,37.0223,1055.01727877926,63.7824051013865,0.08,59.60503769,34.4,43.8,2.25,5.06,62.739,56.7503146967564,43.2496853032436,482000.0,269000.0,264000000.0,15.8545530420201,149000000.0,61000000.0,2026-03-26
TON,63.8450054392314,100.0,145.273611111111,,58.5334,5651.59373063157,98.8577319664238,1.014,357.54415894,0.4,20.6,4.65,9.33,72.895,78.852055458663,21.147944541337,94000.0,,47700000.7629395,50.2905274787381,47000000.0,38000000.0,2026-03-26
UKR,5.16202867124443,100.0,65.1239834311357,14.431878377761,82.3755,5139.59814453125,93.517329658926,3.531,369.90487671,0.0,23.2,9.46,15.57,73.422,30.5245544972394,69.4754455027606,3382000.0,11251000.0,687000000.0,1.1316652115901,374000000.0,4823000000.0,2026-03-26
URY,31.9293745609651,100.0,19.3582504856588,52.3717113020616,89.896,23019.4221560046,99.6172068539544,4.674,2076.09423828,0.2,19.7,14.27,35.06,78.138,4.45603942871089,95.5439605712891,3480000.0,2199000.0,1085000000.0,7.70839260241396,1055000000.0,412000000.0,2026-03-26
VNM,,99.8,320.175197572656,19.0160579651314,78.08,4323.35031982451,98.160662651459,1.107,197.19210815,1.6,4.2,7.71,16.59,74.588,61.8701095581055,38.1298904418945,3837000.0,,3232000000.0,1.11360339593907,,4360000000.0,2026-03-26
VUT,49.7580889390087,61.6,26.2845775225595,,45.7313,3482.61458237637,87.0544851579831,0.164,143.43753052,19.5,15.9,,,71.477,77.7348033176099,22.2651966823901,82400.0015258789,9399.99961853027,67000000.0,50.3975200212625,62000000.0,22000000.0,2026-03-26
WSM,72.5984779440307,100.0,77.9363309352518,,58.1386,4822.74084650019,98.9302348547362,0.561,292.81085205,4.5,21.9,,,71.698,82.4987200195398,17.5012799804602,23899.9996185303,18500.0,23059999.4659424,19.7907411795208,23000000.0,1799999.95231628,2026-03-26
ZWE,38.8647655690431,62.0,42.24071862479,9.65758026126226,38.4266,2195.22492079245,67.1849190325683,0.136,62.92946243,49.2,38.3,1.43,4.5,62.775,60.7080629204205,39.2919370795795,639000.0,3275000.0,66000000.0,1.2539702596971,63000000.0,157000000.0,2026-03-26
