,month,temp_avg,temp_max,temp_min,region,short_description,latitude,longitude,Services voyage (% exports de services),Accès électricité (% pop),Densité de population (hab/km²),Pop. dans grandes agglomérations (%),Accès Internet (% pop),PIB par habitant (USD),Accès eau potable (% pop),Médecins (pour 1000 habitants),Dépenses santé par habitant (USD),Pauvreté < 3$/jour (% pop),Pauvreté seuil national (% pop),Revenu 40% les plus pauvres ($/jour),Revenu moyen par habitant ($/jour),Espérance de vie (années),Population rurale (% total),Population urbaine (% total),Arrivées touristes internationaux (nb),Départs touristes internationaux (nb),Recettes tourisme (USD),Recettes tourisme (% exportations),Recettes voyages touristiques (USD),Dépenses tourisme (USD),city,nature,patrimoine,culture,restaurant,nightlife,loisirs,country
0,1,28.7,33.3,25.8,africa,"Lively streets filled with vibrant markets, rhythmic music, and the aroma of spicy street food create a captivating and energetic atmosphere.",5.5571096,-0.2012376,11.9662073422835,89.5,148.49676310689,19.0254746120166,69.9445,2383.90410483418,88.8910495956232,0.266,70.25730896,39.0,23.4,1.81,5.07,65.498,42.1925262225346,57.8074737774654,897000.0,1070000.0,191000000.0,0.865150905271818,110000000.0,946000000.0,Accra,0.04,0.88,0.15,0.36,0.99,0.69,ghana
22,10,27.3,31.1,24.4,africa,"Lively streets filled with vibrant markets, rhythmic music, and the aroma of spicy street food create a captivating and energetic atmosphere.",5.5571096,-0.2012376,11.9662073422835,89.5,148.49676310689,19.0254746120166,69.9445,2383.90410483418,88.8910495956232,0.266,70.25730896,39.0,23.4,1.81,5.07,65.498,42.1925262225346,57.8074737774654,897000.0,1070000.0,191000000.0,0.865150905271818,110000000.0,946000000.0,Accra,0.04,0.88,0.15,0.36,0.99,0.69,ghana
44,11,28.4,32.4,25.2,africa,"Lively streets filled with vibrant markets, rhythmic music, and the aroma of spicy street food create a captivating and energetic atmosphere.",5.5571096,-0.2012376,11.9662073422835,89.5,148.49676310689,19.0254746120166,69.9445,2383.90410483418,88.8910495956232,0.266,70.25730896,39.0,23.4,1.81,5.07,65.498,42.1925262225346,57.8074737774654,897000.0,1070000.0,191000000.0,0.865150905271818,110000000.0,946000000.0,Accra,0.04,0.88,0.15,0.36,0.99,0.69,ghana
66,12,28.8,33.2,25.7,africa,"Lively streets filled with vibrant markets, rhythmic music, and the aroma of spicy street food create a captivating and energetic atmosphere.",5.5571096,-0.2012376,11.9662073422835,89.5,148.49676310689,19.0254746120166,69.9445,2383.90410483418,88.8910495956232,0.266,70.25730896,39.0,23.4,1.81,5.07,65.498,42.1925262225346,57.8074737774654,897000.0,1070000.0,191000000.0,0.865150905271818,110000000.0,946000000.0,Accra,0.04,0.88,0.15,0.36,0.99,0.69,ghana
88,2,29.1,33.6,26.3,africa,"Lively streets filled with vibrant markets, rhythmic music, and the aroma of spicy street food create a captivating and energetic atmosphere.",5.5571096,-0.2012376,11.9662073422835,89.5,148.49676310689,19.0254746120166,69.9445,2383.90410483418,88.8910495956232,0.266,70.25730896,39.0,23.4,1.81,5.07,65.498,42.1925262225346,57.8074737774654,897000.0,1070000.0,191000000.0,0.865150905271818,110000000.0,946000000.0,Accra,0.04,0.88,0.15,0.36,0.99,0.69,ghana
110,3,29.2,33.3,26.2,africa,"Lively streets filled with vibrant markets, rhythmic music, and the aroma of spicy street food create a captivating and energetic atmosphere.",5.5571096,-0.2012376,11.9662073422835,89.5,148.49676310689,19.0254746120166,69.9445,2383.90410483418,88.8910495956232,0.266,70.25730896,39.0,23.4,1.81,5.07,65.498,42.1925262225346,57.8074737774654,897000.0,1070000.0,191000000.0,0.865150905271818,110000000.0,946000000.0,Accra,0.04,0.88,0.15,0.36,0.99,0.69,ghana
132,4,29.1,33.1,25.9,africa,"Lively streets filled with vibrant markets, rhythmic music, and the aroma of spicy street food create a captivating and energetic atmosphere.",5.5571096,-0.2012376,11.9662073422835,89.5,148.49676310689,19.0254746120166,69.9445,2383.90410483418,88.8910495956232,0.266,70.25730896,39.0,23.4,1.81,5.07,65.498,42.1925262225346,57.8074737774654,897000.0,1070000.0,191000000.0,0.865150905271818,110000000.0,946000000.0,Accra,0.04,0.88,0.15,0.36,0.99,0.69,ghana
154,5,28.5,32.6,25.3,africa,"Lively streets filled with vibrant markets, rhythmic music, and the aroma of spicy street food create a captivating and energetic atmosphere.",5.5571096,-0.2012376,11.9662073422835,89.5,148.49676310689,19.0254746120166,69.9445,2383.90410483418,88.8910495956232,0.266,70.25730896,39.0,23.4,1.81,5.07,65.498,42.1925262225346,57.8074737774654,897000.0,1070000.0,191000000.0,0.865150905271818,110000000.0,946000000.0,Accra,0.04,0.88,0.15,0.36,0.99,0.69,ghana
176,6,27.0,30.6,24.4,africa,"Lively streets filled with vibrant markets, rhythmic music, and the aroma of spicy street food create a captivating and energetic atmosphere.",5.5571096,-0.2012376,11.9662073422835,89.5,148.49676310689,19.0254746120166,69.9445,2383.90410483418,88.8910495956232,0.266,70.25730896,39.0,23.4,1.81,5.07,65.498,42.1925262225346,57.8074737774654,897000.0,1070000.0,191000000.0,0.865150905271818,110000000.0,946000000.0,Accra,0.04,0.88,0.15,0.36,0.99,0.69,ghana
198,7,26.1,29.3,24.2,africa,"Lively streets filled with vibrant markets, rhythmic music, and the aroma of spicy street food create a captivating and energetic atmosphere.",5.5571096,-0.2012376,11.9662073422835,89.5,148.49676310689,19.0254746120166,69.9445,2383.90410483418,88.8910495956232,0.266,70.25730896,39.0,23.4,1.81,5.07,65.498,42.1925262225346,57.8074737774654,897000.0,1070000.0,191000000.0,0.865150905271818,110000000.0,946000000.0,Accra,0.04,0.88,0.15,0.36,0.99,0.69,ghana
