City,country,code_3L,month,temp_avg,temp_max,temp_min
Accra,ghana,GHA,1,28.7,33.3,25.8
Accra,ghana,GHA,10,27.3,31.1,24.4
Accra,ghana,GHA,11,28.4,32.4,25.2
Accra,ghana,GHA,12,28.8,33.2,25.7
Accra,ghana,GHA,2,29.1,33.6,26.3
Accra,ghana,GHA,3,29.2,33.3,26.2
Accra,ghana,GHA,4,29.1,33.1,25.9
Accra,ghana,GHA,5,28.5,32.6,25.3
Accra,ghana,GHA,6,27.0,30.6,24.4
Accra,ghana,GHA,7,26.1,29.3,24.2
Accra,ghana,GHA,8,25.8,28.8,23.6
Accra,ghana,GHA,9,26.2,29.8,24.0
Ajaccio,france,FRA,1,9.6,14.8,5.3
Ajaccio,france,FRA,10,18.0,23.7,13.1
Ajaccio,france,FRA,11,13.6,19.0,9.3
Ajaccio,france,FRA,12,10.6,16.1,6.3
Ajaccio,france,FRA,2,10.2,15.4,5.7
Ajaccio,france,FRA,3,11.4,16.7,6.1
Ajaccio,france,FRA,4,13.9,19.3,8.3
Ajaccio,france,FRA,5,17.6,22.6,12.4
Ajaccio,france,FRA,6,22.4,27.6,16.7
Ajaccio,france,FRA,7,25.2,30.3,19.2
Ajaccio,france,FRA,8,24.9,30.2,19.0
Ajaccio,france,FRA,9,21.6,27.1,16.4
Algarve,portugal,PRT,1,12.8,16.6,9.2
Algarve,portugal,PRT,10,20.0,23.4,17.0
Algarve,portugal,PRT,11,16.2,19.7,12.9
Algarve,portugal,PRT,12,14.2,17.7,11.1
Algarve,portugal,PRT,2,13.7,17.4,10.4
Algarve,portugal,PRT,3,14.6,18.3,11.2
Algarve,portugal,PRT,4,16.8,20.5,13.4
Algarve,portugal,PRT,5,19.8,24.1,16.0
Algarve,portugal,PRT,6,22.0,26.2,18.4
Algarve,portugal,PRT,7,24.4,29.0,20.5
Algarve,portugal,PRT,8,24.7,29.3,20.8
Algarve,portugal,PRT,9,22.4,26.1,19.0
Annecy,france,FRA,1,3.0,6.7,-0.1
Annecy,france,FRA,10,12.3,17.8,7.8
Annecy,france,FRA,11,6.8,10.9,3.2
Annecy,france,FRA,12,3.2,6.8,0.3
Annecy,france,FRA,2,4.7,9.7,0.7
Annecy,france,FRA,3,8.0,13.5,2.5
Annecy,france,FRA,4,10.4,16.4,4.6
Annecy,france,FRA,5,14.9,20.5,9.3
Annecy,france,FRA,6,19.6,25.7,13.1
Annecy,france,FRA,7,22.0,28.7,14.8
Annecy,france,FRA,8,21.4,28.2,14.6
Annecy,france,FRA,9,16.8,23.1,10.9
Antananarivo,madagascar,MDG,1,21.1,26.9,17.3
Antananarivo,madagascar,MDG,10,19.7,27.4,14.0
Antananarivo,madagascar,MDG,11,21.0,28.4,15.7
Antananarivo,madagascar,MDG,12,21.3,27.9,16.8
Antananarivo,madagascar,MDG,2,21.1,27.0,17.2
Antananarivo,madagascar,MDG,3,21.0,26.9,17.1
Antananarivo,madagascar,MDG,4,19.9,26.2,15.8
Antananarivo,madagascar,MDG,5,17.6,23.9,13.2
Antananarivo,madagascar,MDG,6,15.4,21.4,11.2
Antananarivo,madagascar,MDG,7,14.7,21.2,10.0
Antananarivo,madagascar,MDG,8,15.6,22.6,10.5
Antananarivo,madagascar,MDG,9,17.1,24.4,11.2
Apia,samoa,WSM,1,27.2,29.5,25.2
Apia,samoa,WSM,10,26.9,29.4,24.8
Apia,samoa,WSM,11,27.0,29.5,24.9
Apia,samoa,WSM,12,27.2,29.9,24.9
Apia,samoa,WSM,2,27.0,29.2,25.3
Apia,samoa,WSM,3,27.5,29.6,25.6
Apia,samoa,WSM,4,27.6,29.8,25.8
Apia,samoa,WSM,5,27.3,30.2,25.2
Apia,samoa,WSM,6,27.0,29.2,25.0
Apia,samoa,WSM,7,26.6,28.9,24.6
Apia,samoa,WSM,8,26.6,28.9,24.8
Apia,samoa,WSM,9,26.7,29.6,24.1
Asunción,paraguay,PRY,1,28.5,35.4,23.5
Asunción,paraguay,PRY,10,24.5,32.0,20.0
Asunción,paraguay,PRY,11,25.8,33.0,21.0
Asunción,paraguay,PRY,12,27.4,34.4,22.0
Asunción,paraguay,PRY,2,27.5,34.4,22.4
Asunción,paraguay,PRY,3,26.3,33.3,21.9
Asunción,paraguay,PRY,4,23.9,29.9,19.2
Asunción,paraguay,PRY,5,19.5,25.5,15.1
Asunción,paraguay,PRY,6,18.5,25.4,14.1
Asunción,paraguay,PRY,7,18.4,25.5,13.2
Asunción,paraguay,PRY,8,20.5,27.9,14.3
Asunción,paraguay,PRY,9,22.6,30.4,17.3
Azores,portugal,PRT,1,15.6,17.1,14.0
Azores,portugal,PRT,10,19.9,21.9,18.2
Azores,portugal,PRT,11,17.8,19.5,16.2
Azores,portugal,PRT,12,16.3,17.8,14.4
Azores,portugal,PRT,2,15.0,16.7,13.3
Azores,portugal,PRT,3,14.6,17.3,12.3
Azores,portugal,PRT,4,15.8,17.7,14.0
Azores,portugal,PRT,5,17.3,19.4,15.4
Azores,portugal,PRT,6,19.2,21.5,17.3
Azores,portugal,PRT,7,21.7,24.1,19.5
Azores,portugal,PRT,8,23.0,25.5,20.9
Azores,portugal,PRT,9,22.1,24.4,20.2
Banff,canada,CAN,1,-7.6,-2.8,-12.3
Banff,canada,CAN,10,3.5,9.4,-2.2
Banff,canada,CAN,11,-3.9,0.4,-7.6
Banff,canada,CAN,12,-8.6,-4.5,-12.7
Banff,canada,CAN,2,-6.9,-1.9,-12.4
Banff,canada,CAN,3,-2.5,3.7,-8.3
Banff,canada,CAN,4,2.8,9.0,-3.6
Banff,canada,CAN,5,8.1,15.4,0.7
Banff,canada,CAN,6,12.3,19.4,5.1
Banff,canada,CAN,7,15.8,23.9,7.3
Banff,canada,CAN,8,14.7,22.8,6.7
Banff,canada,CAN,9,9.8,16.8,3.0
Beira,mozambique,MOZ,1,28.1,31.9,24.6
Beira,mozambique,MOZ,10,25.1,29.4,21.2
Beira,mozambique,MOZ,11,26.9,31.2,23.0
Beira,mozambique,MOZ,12,27.8,31.5,23.8
Beira,mozambique,MOZ,2,28.2,32.3,24.4
Beira,mozambique,MOZ,3,27.3,30.8,23.7
Beira,mozambique,MOZ,4,26.0,29.8,22.2
Beira,mozambique,MOZ,5,23.6,28.3,19.3
