,geonameid,name,asciiname,latitude,longitude,feature_code,country_code,population,timezone
20,290503,Warīsān,Warisan,25.16744,55.40708,PPL,AE,108759,Asia/Dubai
25,291074,Ras Al Khaimah,Ras Al Khaimah,25.78953,55.9432,PPLA,AE,351943,Asia/Dubai
34,292223,Dubai,Dubai,25.07725,55.30927,PPLA,AE,3790000,Asia/Dubai
37,292261,Dayrah,Dayrah,25.27143,55.30207,PPLX,AE,400000,Asia/Dubai
38,292672,Sharjah,Sharjah,25.3342,55.41221,PPLA,AE,1800000,Asia/Dubai
44,292878,Fujairah,Fujairah,25.11641,56.34141,PPLA,AE,118933,Asia/Dubai
45,292913,Al Ain City,Al Ain City,24.19167,55.76056,PPL,AE,846747,Asia/Dubai
46,292932,Ajman,Ajman,25.40177,55.47878,PPLA,AE,490035,Asia/Dubai
48,292968,Abu Dhabi,Abu Dhabi,24.45118,54.39696,PPLC,AE,1807000,Asia/Dubai
79,8469668,International City,International City,25.16383,55.40987,PPLX,AE,120000,Asia/Dubai
80,8469788,Dubai Marina,Dubai Marina,25.08525,55.14646,PPLX,AE,120000,Asia/Dubai
88,8476509,Al Majaz,Al Majaz,25.32354,55.38774,PPLX,AE,116503,Asia/Dubai
93,11048853,Dubai Investments Park,Dubai Investments Park,25.00827,55.15682,PPLX,AE,160000,Asia/Dubai
94,11524601,Jebel Ali,Jebel Ali,25.00255,55.10811,PPL,AE,210000,Asia/Dubai
96,12042053,Musaffah,Musaffah,24.35893,54.48267,PPL,AE,243341,Asia/Dubai
114,13118432,Business Bay,Business Bay,25.18544,55.26969,PPLX,AE,191000,Asia/Dubai
246,1133616,Mazār-e Sharīf,Mazar-e Sharif,36.70904,67.11087,PPLA,AF,523300,Asia/Kabul
262,1135689,Kunduz,Kunduz,36.72895,68.857,PPLA,AF,161902,Asia/Kabul
288,1138336,Kandahār,Kandahar,31.61332,65.71013,PPLA,AF,523300,Asia/Kabul
294,1138958,Kabul,Kabul,34.52813,69.17233,PPLC,AF,4434550,Asia/Kabul
299,1139715,Jalālābād,Jalalabad,34.42647,70.45153,PPLA,AF,271900,Asia/Kabul
302,1140026,Herāt,Herat,34.34817,62.19967,PPLA,AF,574300,Asia/Kabul
313,1141269,Ghazni,Ghazni,33.55391,68.42096,PPLA,AF,141000,Asia/Kabul
315,1141857,Gardez,Gardez,33.59744,69.22592,PPLA,AF,103601,Asia/Kabul
377,1147290,Balkh,Balkh,36.75635,66.8972,PPLA2,AF,114883,Asia/Kabul
380,1147540,Baghlān,Baghlan,36.13068,68.70829,PPLA2,AF,108449,Asia/Kabul
650,783263,Elbasan,Elbasan,41.11138,20.08224,PPLA,AL,100903,Europe/Tirane
696,3183719,Vlorë,Vlore,40.4696,19.48379,PPLA,AL,115261,Europe/Tirane
710,3183875,Tirana,Tirana,41.32744,19.81866,PPLC,AL,418495,Europe/Tirane
859,3185728,Durrës,Durres,41.32355,19.45469,PPLA,AL,195920,Europe/Tirane
1017,616052,Yerevan,Yerevan,40.17765,44.5126,PPLC,AM,1144700,Asia/Yerevan
1273,616635,Gyumri,Gyumri,40.79305,43.84635,PPLA,AM,114667,Asia/Yerevan
1513,866152,Erebuni,Erebuni,40.13309,44.53009,PPLX,AM,129700,Asia/Yerevan
1514,866153,Nor Nork,Nor Nork,40.19661,44.5669,PPLX,AM,137300,Asia/Yerevan
1516,866164,Ajapnyak,Ajapnyak,40.19917,44.47056,PPLX,AM,122800,Asia/Yerevan
1524,7670934,Malatia-Sebastia,Malatia-Sebastia,40.17396,44.4457,PPLX,AM,150500,Asia/Yerevan
1525,7670941,Kentron,Kentron,40.17806,44.51303,PPLX,AM,133000,Asia/Yerevan
1533,11111027,Shengavit,Shengavit,40.1557,44.4779,PPLX,AM,140600,Asia/Yerevan
1545,13156582,Arabkir,Arabkir,40.20624,44.50365,PPLX,AM,119300,Asia/Yerevan
