,city,nature,patrimoine,culture,restaurant,nightlife,loisirs,country
0,Accra,70,776,125,1029,437,804,ghana
1,Ajaccio,81,73,36,189,35,308,france
2,Algarve,0,0,0,1,0,1,portugal
3,Annecy,361,164,166,476,61,1150,france
4,Apia,1,4,0,0,0,0,samoa
5,Asunción,384,301,238,658,98,871,paraguay
6,Azores,2252,905,338,931,181,2420,portugal
7,Banff,72,18,22,102,16,113,canada
8,Biarritz,123,19,66,191,33,772,france
9,Bishkek,162,321,370,1195,111,724,kyrgyzstan
10,Blantyre,180,148,23,82,34,190,malawi
11,Bocas del Toro,311,39,13,118,29,174,panama
12,Bordeaux,678,446,393,1356,268,2045,france
13,Braga,1407,382,127,685,35,803,portugal
14,Calgary,4156,436,414,2593,214,2673,canada
15,Carcassone,76,157,50,181,11,1348,france
16,Carcassonne,76,157,50,181,11,1348,france
17,Cebu,723,642,158,850,61,1019,philippines
18,Charlottetown,123,44,32,136,8,305,canada
19,Colmar,108,92,43,226,26,516,france
20,Colombo,120,281,186,622,53,326,sri lanka
21,Davao,2164,619,238,2199,87,707,philippines
22,Dhaka,728,4426,1042,4272,42,2237,bangladesh
23,Edmonton,1990,574,369,1690,125,1148,canada
24,Espiritu Santo,15,54,13,28,14,36,vanuatu
25,Funchal,251,194,152,636,161,1464,portugal
26,Galle,26,118,42,103,4,117,sri lanka
27,Georgetown,99,115,19,203,44,125,guyana
28,Guimarães,264,227,71,402,22,530,portugal
29,Ha Long,969,1199,850,3973,261,1597,vietnam
30,Halifax,396,170,191,523,71,292,canada
31,Hanoi,969,1199,850,3973,261,1597,vietnam
32,Harare,42,238,95,186,66,1198,zimbabwe
33,Havana,1219,954,768,2583,441,3547,cuba
34,Ho Chi Minh City,1646,2212,873,5554,306,2131,vietnam
35,Hoi An,124,107,59,929,53,510,vietnam
36,Hong Kong,7876,2194,1006,5567,285,5841,hong kong
37,Hue,186,485,137,827,36,316,vietnam
38,Islamabad,413,464,217,681,5,462,pakistan
39,Kandy,150,708,105,264,4,643,sri lanka
40,Kigali,147,139,45,280,73,344,rwanda
41,Kyiv,1794,2152,1312,4137,561,5183,ukraine
42,Libreville,31,105,63,276,145,235,gabon
43,Lille,570,441,317,1134,346,515,france
44,Lisbon,1288,1266,1014,4244,430,2104,portugal
45,Lomé,94,334,114,542,540,500,togo
46,Luanda,63,112,105,409,80,209,angola
47,Luxembourg City,6,0,1,7,0,0,luxembourg
48,Lviv,270,515,444,1310,210,1211,ukraine
49,Lyon,2271,730,820,2568,524,1894,france
50,Madeira,1918,599,288,1347,566,3890,portugal
51,Malé,73,56,25,365,8,107,maldives
52,Manila,265,662,298,1635,80,442,philippines
53,Manuel Antonio National Park,23,2,0,1,0,14,costa rica
54,Maputo,129,222,281,340,259,230,mozambique
55,Marseille,2493,1085,704,1957,366,4726,france
56,Maseru,2751,1286,42,88,55,111,lesotho
57,Mombasa,55,120,52,157,51,481,kenya
58,Monaco,97,72,122,178,28,146,monaco
59,Monteverde,40,12,11,80,3,161,costa rica
60,Montreal,4980,892,1120,3902,418,2925,canada
61,Muscat,13,24,6,10,0,5,oman
62,Nairobi,407,1378,533,1367,524,1934,kenya
63,Nantes,1557,520,607,1103,234,1576,france
64,Niagara Falls,214,124,33,326,22,426,canada
65,Nuwara Eliya,129,369,25,146,13,414,sri lanka
66,Odessa,309,604,423,982,130,801,ukraine
67,Ottawa,3417,793,522,2666,177,4748,canada
68,Palawan,1054,591,67,463,70,929,philippines
69,Paramaribo,14,50,20,106,21,39,suriname
70,Paris,2689,2591,4281,14413,2214,5313,france
71,Porto,7059,667,569,1662,238,1347,portugal
72,Punta del Este,26,16,13,135,6,107,uruguay
73,Quebec City,1119,224,250,779,82,1651,canada
74,Québec City,1119,224,250,779,82,1651,canada
75,Salalah,143,222,40,305,5,114,oman
76,San José,1711,568,409,1968,465,629,costa rica
77,Sapa,48,21,3,178,15,190,vietnam
78,Sintra,1068,373,176,641,40,4019,portugal
79,Strasbourg,701,317,400,1002,171,1450,france
80,Toronto,5887,1742,1190,8005,635,4725,canada
81,Vancouver Island,8237,721,733,1660,185,2979,canada
82,Vancouver,1249,445,585,2567,205,2071,canada
83,Whistler,281,21,20,115,18,259,canada
