City,Value,Date,Source,Notes
Abu Dhabi,4800000,,Supplied by City,
Adelaide,3422000,2025,Supplied by City,
Amsterdam,24500000,2023,Gemeente Amsterdam - Onderzoek & Statistiek,: Toerisme MRA 2023-2024
Austin,27400000,2017,Visit Austin,I can find a lot of non-cited data about annual tourists but very little with sources. Visit Austin seems to have a lot of information and should be contacted.https://assets.simpleviewinc.com/simpleview/image/upload/v1/clients/austin/Visit_Austin_Fact_Sheet_866e13a9-1d92-43c8-a948-c07ade4d7b8b.pdf
Barcelona,15600000,2024,Observatori del Turisme a Barcelona,In millions; https://www.observatoriturisme.barcelona/sites/default/files/2024_C%C3%A0psula%201%20IAOTB.pdf
Beijing,371529000,2024,Supplied by City,
Boston,40800000,2023,,
Brasilia,68000,2024,EMBRATUR,https://embratur.com.br/wp-content/uploads/2025/04/Briefing-para-DISTRITO-FEDERAL-2024.pdf
Brussels,3600000,2024,Supplied by City,
Chengdu,306000000,2024,"Chengdu Municipal Government Reports, Statistical Yearbooks",2024 official figure
Cologne,3847307,2023,Statistical Yearbook 2023,
Dubai,17150000,2024,Supplied by City,
Dublin,6600000,2023,Failte Ireland,
Edinburgh,2324000,,Visit Scotland,
Guangzhou,5449700,2023,China Economics Intelligence Network,https://www.huaon.com/channel/distdata/864653.html
Helsinki,13300000,2024,Supplied by City,overnight stays
Hong Kong,22000000,2024,Legislative Council Panel on Economic Development Hong Kong Tourism Board Work Plan for 2025-26,"estimation based on following data in the Hong Kong Tourism Board Work Plan for 2025-26
Total visitor arrivals=44,502,787
Share of overnight visitors=about 50%; https://www.legco.gov.hk/yr2025/english/panels/edev/papers/edev20250506cb3-610-2-e.pdf"
Kyiv,1850000,,Supplied by City,
Lisbon,22900000,2024,Tourismo de Portugal,travelbi.turismodeportugal.pt/
London,20277082,2023,UK ONS International Passenger Survey,"Inbound visits and spend: annual, regional | VisitBritain.org"
Los Angeles,49100000,2023,Los Angeles Tourism & Convention Board,County-level data not available
Melbourne,3000000,2024,Tourism Research Australia,Figures provided by Melbourne.
Milan,4032213,,Supplied by City,
Montreal,11700000,,Supplied by City,
Nanjing,103290000,2024,Nanjing Culture and Tourism Bureau,Million; 南京市文旅局
New York,62200000,2023,New York City Tourism & Conventions,Combined domestic & international data. See breakdownin rows 25 and 26 for more granularity. https://corporate.nyctourism.com/annual-report/2024; Annual Report 2023
Oslo,3491236,2024,Statistics Norway,https://www.ssb.no/statbank/table/14165/tableViewLayout1/
Paris,48700000,2024,Visit Paris Region,
Rio de Janeiro,1528133,2024,Supplied by City,
San Francisco,23100000,2023,SF Travel Association,
Sao Paulo,2200000,2024,Embratur,EMBRATUR 2024 https://embratur.com.br/wp-content/uploads/2025/04/Briefing-para-SAO-PAULO-2024.pdf
Seoul,16370000,2024,Korea Tourism Data Lab,(https://datalab.visitkorea.or.kr/datalab/portal/loc/getAreaDataForm.do#)
Stockholm,9600000,2023,Stockholm Business Region,Vilka är våra besökare | professionals.visitstockholm.com
Sydney,14870000,2024,Supplied by City,
Taipei,5761710,2024,Supplied by City,
Tokyo,36870148,2023,Tokyo Metropolitan Government,"https://www.sangyo-rodo.metro.tokyo.lg.jp/data/tourism/jittai; ""Survey on the number of tourists to Tokyo"""
Toronto,2700000,2024,Destination Toronto,Visitor arrival 2024
Vienna,7394023,2024,Gästeankünfte,
Warsaw,12200000,2024,Strategy & Analyses Department of the Capital City of Warsaw,
Zurich,371580,2024,Stadt Zürich,https://www.stadt-zuerich.ch/de/politik-und-verwaltung/statistik-und-daten/daten/wirtschaft/tourismus/stadt-zuerich.html
