City,Value,Date,Source,Notes
Amsterdam,905,2024,Gemeente Amsterdam - Onderzoek & Statistiek,Website Onderzoek en Statistiek
Austin,308,2024,Visit Austin,"https://www.austintexas.org/things-to-do/nightlife/, https://data.texas.gov/dataset/TABCLicenses/kguh-7q9z/explore/query/SELECT%0A%20%20%60aimsownername%60%2C%0A%20%20%60aimstradename%60%2C%0A%20%20%60aimslicensetype%60%2C%0A%20%20%60aimslicenseid%60%2C%0A%20%20%60legacylicenseclass%60%2C%0A%20%20%60legacylicensenumber%60%2C%0A%20%20%60locationaddress%60%2C%0A%20%20%60city%60%2C%0A%20%20%60state%60%2C%0A%20%20%60zip%60%2C%0A%20%20%60txcounty%60%0AWHERE%20caseless_eq%28%60city%60%2C%20%22AUSTIN%22%29/page/filter (if more data is needed)"
Barcelona,429,2024,Ajuntament de Barcelona,"Data from 2025. We cannot provide data from previous years, because historical data is not preserved in the directories; https://guia.barcelona.cat/en/llistat?&pg=search&xout=1&ajax=search&af=code_prop&wtarget=la-meva-barcelona&nfwt=1&code0=0062001004&sort=namesort,asc&nr=10&c=00620*&tr=620&code1=0062002004014"
Boston,118,2022,US Census,Bars are included in the same 2017 NAICS code as night clubs.
Chengdu,5000,2024,Dianping.com,"(2024 ""bar"" listings)"
Cologne,101,2022,Statistical Yearbook 2023,Gesamtdokument
Dublin,746,2024,"Revenue Licensing data; Drinks Industry Group Ireland Report 2023,   Statista.","Includes Live music & comedy venues, public distilleries/breweries, hotels with public bars, theatres & bars"
Edinburgh,411,,NOMIS,NOMIS - Local Business units â€” Local units by industry...More +
London,3535,2024,UK Business Counts,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/adhocs/1860onslocalpublichousesandbarslondonmsoas2001to2023 - - local units by industry and employment size band
Los Angeles,723,2022,"US Census Bureau, County Business Patterns",": 2022, released June 2024, https://www.census.gov/data/datasets/2022/econ/cbp/2022-cbp.html"
Melbourne,291,2024,"City of Melbourne Census of Land Use and Employment, 2025",
Milan,4878,,Supplied by City,
Nanjing,292,2024,Supplied by City,
New York,2100,2023,NYC Mayor’s Office of Media and Entertainment,"Latest data is from 2019 report; ""NYC’s Nightlife Economy
Impact, Assets, and Opportunities"" (2019) Commissioned by Office of Media and Entertainment"
Paris,4855,2024,Pages Jaunes,"Search ""Bars"" on 27 June 2019, 3 March 2022 and 14 april 2025"
Rio de Janeiro,618,2024,Supplied by City,
San Francisco,378,2025,SFDPH,
Sao Paulo,33810,2024,Observatorio de Turismo,"No todos pueden tener musica en vivo / 8 restaurantes
com estrelas Michelin.4; Observatorio de Turismo 2023 https://observatoriodeturismo.com.br/wp-admin/admin-ajax.php?juwpfisadmin=false&action=wpfd&task=file.download&wpfd_category_id=233&wpfd_file_id=4948&token=0f790ff9ab5335b66e901fa589e720fe&preview=2"
Stockholm,624,2024,Supplied by City,Estimated figure; Bar Stockholm | företag | eniro.se | sida 1
Taipei,51,2024,Taipei City Office of Commerce Specific Industry Management System,依本市臺北市舞廳舞場酒家酒吧及特種咖啡茶室管理自治條例第3條規定，酒吧業係指提供場所，備有陪侍服務，供應酒類或其他飲料之營利事業。
Tokyo,19497,2018,Ministry of Internal Affairs and Communications Statistics Bureau,"The following figures are taken from the Japanese Standard Industrial Classification: 765 Bars and beer halls ""Economic Census Activity Survey"""
Toronto,160,2024,Canadian Business Counts,2023
Vienna,6973,2024,Supplied by City,https://www.wko.at/wien/tourismus-freizeitwirtschaft/gastronomie/jahresstatistik-2023.pdf
