City,Value,Date,Source,Notes
Austin,11,2024,City of Austin,Only inclusive of organizations supported by the Parks and Rec Museums and Cultural Centers Department / https://data.austintexas.gov/Recreation-and-Culture/PARD-Museums-and-Cultural-Centers-Map/gzdv-b9db
Barcelona,52,2024,Obseratori Dades Culturals Barcelona,https://barcelonadadescultura.bcn.cat/centres-civics/mapa?lang=en
Brussels,29,2024,Ville de Bruxelles,https://opendata.brussels.be/explore/dataset/bruxelles_lieux_culturels/table/?flg=fr-fr&sort=code_postal&dataChart=eyJxdWVyaWVzIjpbeyJjaGFydHMiOlt7InR5cGUiOiJjb2x1bW4iLCJmdW5jIjoiQ09VTlQiLCJzY2llbnRpZmljRGlzcGxheSI6dHJ1ZSwiY29sb3IiOiIjZTc4YWMzIn1dLCJ4QXhpcyI6ImNvZGVfcG9zdGFsIiwibWF4cG9pbnRzIjpudWxsLCJzb3J0IjoiIiwiY29uZmlnIjp7ImRhdGFzZXQiOiJicnV4ZWxsZXNfbGlldXhfY3VsdHVyZWxzIiwib3B0aW9ucyI6eyJmbGciOiJmci1mciIsInNvcnQiOiJjb2RlX3Bvc3RhbCJ9fX1dLCJ0aW1lc2NhbGUiOiIiLCJkaXNwbGF5TGVnZW5kIjp0cnVlLCJhbGlnbk1vbnRoIjp0cnVlfQ%3D%3D
Cologne,7,2024,City of Cologne,stadt-koeln.de/koelner-kulturorte
Dubai,12,2024,Supplied by City,
Dublin,76,2024,GIS,"Includes Art Galleries, Cultural, Dance and Community spaces and performing arts groups"
Guangzhou,13,2023,Guangzhou Statistics Bureau,https://tjj.gz.gov.cn/datav/admin/home/www_nj/（2014-2017）；https://news.qq.com/rain/a/20221015A0591F00（2021）；https://www.163.com/dy/article/JQ5B5S5E0517MHD4.html（2024）
Helsinki,8,2024,City of Helsinki,City's cultural centres
Hong Kong,109,2024,Home Affairs Department of Hong Kong Government,https://www.had.gov.hk/en/public_services/community.htm
Jakarta,20,2024,Department of Culture of Jakarta,
Lisbon,27,2024,Camara Municipal de Lisboa,https://websig.cm-lisboa.pt
London,26,2022,Greater London Authority Datastore,https://data.london.gov.uk/download/cultural-infrastructure-map-2023/6417f4bd-5405-4624-be15-9b478a9cb1cb/20%20Art%20centres.pdf
Los Angeles,19,2022,SMU DataArts Cultural Data Project,We used a proprietary database of our grantees from the Cultural Data Project.
Montreal,18,2024,Supplied by City,"Internal database / attendance of ""houses of culture"""
Nanjing,115,2024,Supplied by City,
New York,176,2023,NYC-Arts,https://www.nyc-arts.org/categories/cultural-center/
Paris,276,2024,Base Equipement IPR,Centres socio-culturels
Rio de Janeiro,10,2024,Supplied by City,
Sao Paulo,53,2024,Observatorio de Turismo,Observatorio de Turismo 2023 https://observatoriodeturismo.com.br/wp-admin/admin-ajax.php?juwpfisadmin=false&action=wpfd&task=file.download&wpfd_category_id=233&wpfd_file_id=4948&token=0f790ff9ab5335b66e901fa589e720fe&preview=2
Seoul,25,2023,Supplied by City,
Stockholm,9,2023,Stockholms kulturkartor,Stockholms kulturkartor
Sydney,19,2018,Create NSW Infrastructure Database,2018
Taipei,0,2024,Ministry of Culture,https://stat.moc.gov.tw/HS_UserCatalogView.aspx
Warsaw,63,2023,Statistics Poland,2024 - uknown yet; (GUS)
Zurich,108,2024,Supplied by City,Internal cultural space mapping
