City,Value,Date,Source,Notes
Abu Dhabi,221,2024,Supplied by City,"This figure includes Archaeological Sites, Historic Buildings, Apartment complexes, fossil sites and heritage markets"
Amsterdam,9796,2024,Data Amsterdam,
Austin,10,2024,Supplied by City,https://atlas.thc.texas.gov/Data/DataDownload
Barcelona,1492,2024,Supplied by City,"Given the volume of heritage spaces and the fact that the inventory does not have the spaces categorised, it is not possible to eliminate museums. https://invarquit.cultura.gencat.cat/search-result"
Brasilia,20,2024,Supplied by City,bienes inmuebles oficialmente registrados como patrimonio histórico; Consultar fuente
Chengdu,165,2024,"Chengdu Municipal Government Reports, Statistical Yearbooks",National-level: 55; Provincial-level: 110 (excludes city/county sites)
Cologne,8681,2023,Statistical Yearbook 2023,
Dublin,4400,2024,"Deaprtment of Housing, Local Government and Heritage monuments database",Monuments Database
Edinburgh,200,,City of Edinburgh,City Facts and Figures 2021/22 â€” Figure relates...More +
Guangzhou,828,2022,Supplied by City,http://www.landscape.cn/news/26259.html（2014）；https://barb.sznews.com/html/2016-08/16/content_3595773.htm（2016）；https://www.163.com/news/article/DADK97VB00018AOP.html（2018）；https://www.gz.gov.cn/zwgk/fggw/szfwj/content/post_8423912.html（2022）
Helsinki,91,2024,City of Helsinki,
Hong Kong,1580,2024,Hong Kong Antiquities and Monuments Office,"The figures are as at 10.10.2024 / 136 declared monuments (including archaeological sites) / 1,444 graded buildings; https://www.amo.gov.hk/en/historic-buildings/monuments/index.html

https://www.aab.gov.hk/en/historic-buildings/results-of-the-assessment/index.html"
Lisbon,241,2023,Observatório Português das Atividades Culturais,https://opac.cies.iscte-iul.pt/
London,20442,2024,Historic England,Planning Data Map; https://historicengland.org.uk/advice/planning/consents/planning-permission/
Los Angeles,581,2024,California State Parks,https://ohp.parks.ca.gov/ListedResources/?view=county&criteria=19
Melbourne,2952,2022,Heritage Council Victoria,Greater Melbourne area
Milan,800,,Supplied by City,
Montreal,213,2024,Supplied by City,"Sites patrimoniaux déclarés (gouvernement du Québec) : 3 (Mont-Royal, Vieux-Montréal et Bois-de-Saraguay)

Sites patrimoniaux classés par le ministère de la culture du Québec : 17 (incluant des sites archéologiques)

Sites historiques désignés par le ministère de la culture du Québec : 1 (Saut-au-Récollet)

Sites historiques nationaux (gouvernement du Canada) : 5, dont 4 sur le territoire de la Ville (Georges-Étienne Cartier, Louis-Jospeh-Papineau, canal Lachine, commerce de la fourrure et canal Ste-Anne-de-Bellevue)

Sites historiques nationaux désignés (gouvernement du Canada) : 4 (basilique St-Patrick, jardin botanique, maison Cormier, université de Montréal) 

Sites patrimoniaux cités (Ville de Montréal) : 7 (sans les doublons)

Sites historiques municipaux identifiés (Ville) : 1 (quartier chinois) : https://www.patrimoine-culturel.gouv.qc.ca/rpcq/rechercheProtege.do?methode=afficherResultat; Partenariat Données Québec : https://www.donneesquebec.ca/recherche/dataset/immeubles-patrimoniaux-classes-par-la-ministre-de-la-culture-et-des-communications/resource/c6c20af9-504f-4848-9ff2-32c463c9b04c

https://www.donneesquebec.ca/recherche/dataset/sites-patrimoniaux-classes-par-la-ministre-de-la-culture-et-des-communications/resource/e5992bab-543a-4703-bbab-916f4f1126d8

https://www.donneesquebec.ca/recherche/dataset/immeubles-patrimoniaux-cites-par-les-municipalites-et-les-communautes-autochtones/resource/ba6bed2e-2b87-47fa-be28-681be1b4b649

https://www.donneesquebec.ca/recherche/dataset/sites-patrimoniaux-cites-par-les-municipalites-et-les-communautes-autochtones/resource/c49cec03-f16c-4cb1-a65a-10f12d81950b

Répertoire du patrimoine culturel du Québec : 
https://www.patrimoine-culturel.gouv.qc.ca/rpcq/rechercheProtege.do?methode=afficherResultat

National historic site designation (Canada) : 
https://parks.canada.ca/culture/designation/lieu-site
https://parks.canada.ca/lhn-nhs/recherche-search"
Nanjing,651,2024,Supplied by City,
New York,38000,2023,NYC Land Preservation Commission,https://www.nyc.gov/site/lpc/designations/designations.page
Paris,4013,2024,Ministère de la culture,
San Francisco,320,2025,sfplanning.org,
Seoul,2519,2023,Supplied by City,"1) 2021 Seoul Cultural Indicator Survey Research (https://www.sfac.or.kr/business/policy/sfac_policy.do?policyType=sfac_policy&serial=418)

2) 2023 Seoul Cultural Indicator Survey Research (https://www.sfac.or.kr/business/policy/sfac_policy.do?policyType=sfac_policy&serial=432)

3) Seoul Future Heritage (https://data.seoul.go.kr/dataList/OA-15446/S/1/datasetView.do)"
Stockholm,190,2023,County administrative board,Byggnadsminnen | Länsstyrelsen Stockholm
Taipei,205,2024,Taipei City Statistical Database,https://tsis.dbas.gov.taipei/statis/webMain.aspx?k=tpemain
Tokyo,3665,2024,Tokyo Metropolitan Government,https://www.toukei.metro.tokyo.lg.jp/tnenkan/tn-index.htm  “Tokyo Statistical Yearbook”
Toronto,57,2024,Canada's Historic Places,
Vienna,1700,2024,Stadt Wien,https://www.wien.gv.at/stadtentwicklung/strategien/pdf/managementplan-unesco-world-heritage-english.pdf
Warsaw,11595,2024,City of Warsaw,Current list of monuments included in the municipal register of monuments of the capital city of Warsaw
Zurich,4701,2016,Supplied by City,file://szh.loc/ktr/users/ktregl/Download/1859-1600.pdf
