City,Value,Date,Source,Notes
Abu Dhabi,7,2024,Supplied by City,
Adelaide,29,2025,Supplied by City,
Amsterdam,73,2024,Gemeente Amsterdam: Nulmeting Culturele Voorzieningen,
Austin,25,2024,City of Austin,https://library.austintexas.gov/ahc/ahc-history
Barcelona,61,2024,Obseratori Dades Culturals Barcelona,"Institutions that provide us with data. For the year 2024, these 61 institutions are distributed in 81 ""sites"". We cannot provide data for years prior to 2021, due to a change in the countoing criteria of the facilities. https://barcelonadadescultura.bcn.cat/museus-i-espais-dexposicions/mapa?lang=en"
Beijing,241,2024,Supplied by City,
Boston,18,2022,Supplied by City,Includes establishments with 2017 NAICs code: '712110': 'Museums (P)'
Brasilia,20,2024,Which Museum,https://whichmuseum.es/lugar/brasilia-9994
Brussels,45,2024,Wikipedia,https://fr.wikipedia.org/wiki/Liste_des_mus%C3%A9es_de_Bruxelles
Chengdu,196,2024,"Chengdu Municipal Government Reports, Statistical Yearbooks",Includes 26 national-grade museums; 2nd highest in China
Cologne,55,2024,Wikipedia,Wikipedia.de
Dublin,9,2024,"Department of Tourism, Culture, Arts, Gaeltacht, Sport and Media",Official Cultural Institutions and additional 21 GIS classified as museums
Edinburgh,39,,National Museums Scotland/Association of Scottish Visitor Attractions,
Guangzhou,45,2023,Guangzhou Statistics Bureau,https://tjj.gz.gov.cn/datav/admin/home/www_nj/
Helsinki,56,2024,Supplied by City,
Hong Kong,19,2024,Supplied by City,"Public museums managed by LCSD of HKSAR:
7 major Public Museums
Hong Kong Museum of Art 
Hong Kong Museum of History
Hong Kong Museum of Coastal Defence
Hong Kong Heritage Museum
Hong Kong Science Museum
Hong Kong Space Museum
Dr Sun Yat-sen Museum 
7 smaller Public Museums 
Flagstaff House Museum of Teaware
Law Uk Folk Museum
Lei Cheng Uk Han Tomb Museum
Fireboat Alexander Grantham Exhibition Gallery 
Sam Tung Uk Museum
Hong Kong Railway Museum
Sheung Yiu Folk Museum
1 Film Archive
Hong Kong Film Archive  
2 other Museums managed by West Kowlon Cultural District
M+ Museum
Hong Kong Palace Museum
Revitalisation sites under AMO
Hong Kong Heritage Discovery Centre
Ping Shan Tang Clan Gallery cum Heritage Trail Visitors Centre

No other official information on exact number of private museums in Hong Kong, but there're dozens of private museums here.; https://www.info.gov.hk/gia/general/202410/30/P2024103000291.htm?fontSize=1

https://www.lcsd.gov.hk/en/content-in-other-languages/museumservice.html

https://www.amo.gov.hk/en/visitor-centre/heritage-discovery-centre/index.html
https://www.amo.gov.hk/en/heritage-trails/ping-shan-heritage-trail/visitors-centre/index.html

https://www.mplus.org.hk/en/

https://www.hkpm.org.hk/tc/home"
Jakarta,79,2024,Supplied by City,"47 museums managed by gov
15 museums managed by government owned enterprises
31 Museums managed by private sector"
Kyiv,22,,Supplied by City,
Lisbon,45,2023,INE,
London,253,2022,Greater London Authority,Cultural Infrastructure Map 2023 - London Datastore; https://data.london.gov.uk/download/cultural-infrastructure-map-2023/fe12cffb-7f47-4fc7-90ea-0b545325b6a4/18%20Museums%20and%20public%20galleries%20%28Dec%202023%29.pdf
Los Angeles,121,2022,"US Census Bureau, County Business Patterns",": 2022, released June 2024, https://www.census.gov/data/datasets/2022/econ/cbp/2022-cbp.html"
Melbourne,44,2018,Visit Victoria/Yellow Pages,3 National museums + 41 Other museums
Milan,90,,Supplied by City,
Montreal,69,2024,Supplied by City,"The 2024 data is not complete as the last quarter is missing, 69 corresponds to the number of responding museum institutions in the 2nd quarter of 2024.; Fréquentation des institutions muséales répondantes selon le type d'institution, données trimestrielles, par région administrative (RA) et pour l'ensemble du Québec"
Nanjing,72,2024,Supplied by City,
New York,153,2023,NYC-Arts,https://www.nyc-arts.org/categories/museums/
Oslo,22,2024,Norwegian Museums Association,
Paris,228,2024,Ministère de la culture,usée national : 131; 40 maisons des illutres + 29 micro folies + 20 monuments nationaux + 7 centres d'art contemporain d'intérêt national + 1 FRAC
Rio de Janeiro,86,2024,Cultura Nas Capitais,CULTURA NAS CAPITAIS https://culturanascapitais.com.br/wp-content/uploads/2025/02/Capitais-%E2%80%94-Rio-de-Janeiro.pdf
San Francisco,54,2025,Museumhack,
Sao Paulo,124,2024,Visite São Paulo,VISITE SAN PABLO https://visitesaopaulo.com/wp-content/uploads/2025/06/SP-EM-1-MINUTO-Mes-Junho-2025.pdf
Seoul,77,2023,National Cultural Infrastructure Directory,"1) 2021, 2022, 2023 National Cultural Infrastructure Directory (https://www.mcst.go.kr/kor/s_policy/dept/deptList.jsp?pCurrentPage=1&pType=02&pTab=01&pSeq=1818&pDataCD=&pSearchType=01&pSearchWord=%EB%AC%B8%ED%99%94%EA%B8%B0%EB%B0%98%EC%8B%9C%EC%84%A4)"
Stockholm,51,2023,The Swedish Agency for Cultural Policy Analysis,Museer 2023 - Kulturanalys
Taipei,21,2024,Ministry of Culture,
Tokyo,300,2022,Tokyo Metropolitan Government,https://www.toukei.metro.tokyo.lg.jp/tnenkan/tn-index.htm  “Tokyo Statistical Yearbook”
Toronto,117,2024,Canadian Museum Association,"Includes archives, art galleries, conservatories"
Vienna,100,2024,Stadt Wien,https://www.wien.gv.at/english/culture/museums/ and https://www.wien.info/en/art-culture/museums-exhibitions
Warsaw,58,2024,Statistics Poland,museums including branches (GUS)
Zurich,25,2024,Supplied by City,Internal cultural space mapping
