City,Value,Date,Source,Notes
Amsterdam,1861,2024,Gemeente Amsterdam - Onderzoek & Statistiek,Dashboard kerncijfers | Website Onderzoek en Statistiek
Austin,4755,2022,US Bureau of Labor Statistics,https://www.kxan.com/news/new-restaurant-openings-in-austin-higher-than-national-average/
Barcelona,3054,2024,Ajuntament de Barcelona,"Data from 2025. We cannot provide data from previous years, because historical data is not preserved in the directories; https://guia.barcelona.cat/en/llistat?&pg=search&xout=1&ajax=search&af=code_prop&wtarget=la-meva-barcelona&nfwt=1&code0=0062001004&sort=namesort,asc&nr=10&c=00620*&tr=620&code1=0062002004014"
Beijing,5675,2024,Supplied by City,
Boston,975,2022,US Census,Includes establishments with the 2017 NAICS code: '722511': Full-Service Restaurants'
Chengdu,300000,2024,Official city profile,
Cologne,2494,2021,statista.com,
Dublin,475,2024,OpenTable,There is no systematic report detailing this over time. The conscensus is that the number is declining.
Edinburgh,725,,NOMIS,NOMIS - Local Business units â€” Local units by industry...More +
Helsinki,1928,2024,City of Helsinki,
Hong Kong,17154,2024,South China Morning Post,https://www.scmp.com/news/hong-kong/hong-kong-economy/article/3309137/hong-kong-records-first-decline-number-licensed-restaurants-6-years
London,8975,2024,UK Business Counts,- local units by industry and employment size band
Los Angeles,21228,2022,"US Census Bureau, County Business Patterns",": 2022, released June 2024, https://www.census.gov/data/datasets/2022/econ/cbp/2022-cbp.html"
Melbourne,3066,2024,"City of Melbourne Census of Land Use and Employment, 2025",
Milan,5856,,Supplied by City,
Montreal,4200,2024,Statistics Canada,"In 2024, this is an estimate.; Business Registers_Statistique Canada, 2014-2023"
New York,19400,2023,NYC Mayor’s Office of Media and Entertainment,"Latest data is from 2019 report; ""NYC’s Nightlife Economy
Impact, Assets, and Opportunities"" (2019) Commissioned by Office of Media and Entertainment"
Paris,33782,2021,CCI Paris Ile-de-France,"https://www.cci-paris-idf.fr/fr/prospective/crocis/services/cafes-restaurants-franciliens-reprise-freinee-difficultes-recrutement#:~:text=R%C3%A9gion%20%C3%A0%20la%20fois%20dens%C3%A9ment,d'apr%C3%A8s%20le%20dernier%20recensement"
Rio de Janeiro,9692,2024,TripAdvisor,
San Francisco,3751,2025,SFDPH,
Stockholm,7300,2024,Stockholm Chamber of Commerce,Rapport
Taipei,23079,2024,Ministry of Finance,"1. According to Article 11, Paragraph 2 of the Income Tax Act, the term ""profit-seeking enterprise"" refers to public, private, or public-private joint ventures that aim to make a profit. These include sole proprietorships, partnerships, companies, and other organizational forms engaged in industrial, commercial, agricultural, forestry, fishery, animal husbandry, mining, and metallurgy activities, provided they have a business name or location. ; https://web02.mof.gov.tw/njswww/WebMain.aspx?sys=100&funid=defjspf2

2. Corresponding to the classification standards of the Ministry of Finance's tax industry."
Tokyo,71884,2023,Tokyo Metropolitan Bureau of Welfare,https://www.hokeniryo.metro.tokyo.lg.jp/kiban/chosa_tokei/nenpou; “Annual Report (Welfare and Sanitation Administrative Statistics)”
Toronto,6072,2024,Canadian Business Counts,2023
