City,Value,Date,Source,Notes
Amsterdam,2,2024,UNESCO,
Austin,0,2024,UNESCO,"Austin has been a UNESCO ""Creative City"" since 2015. https://whc.unesco.org/en/statesparties/us"
Barcelona,8,2024,UNESCO,
Beijing,8,2024,Supplied by City,
Brasilia,1,2024,UNESCO,
Chengdu,1,2024,"Chengdu Municipal Government Reports, Statistical Yearbooks",Dujiangyan Irrigation System & Mount Qingcheng (World Cultural Heritage)
Cologne,2,2024,UNESCO,https://whc.unesco.org/en/list/
Dublin,1,2024,Dublin City Council,Dublin Bay Biosphere
Edinburgh,2,,Historic Environment Scotland,â€” Includes the Old and New Town...More +
Helsinki,1,2024,Supplied by City,
Hong Kong,22,2024,Hong Kong Tourism Board,22 for UNESCO Asia-Pacific Awards for Cultural Heritage Conservation; https://www.discoverhongkong.com/eng/explore/attractions/unesco-honoured-cultural-heritage-sites-in-hong-kong.html
Kyiv,8,,UNESCO,
Lisbon,1,2024,UNESCO,https://whc.unesco.org/en/statesparties/pt
London,4,2024,Greater London Authority,London World Heritage Sites | London City Hall
Los Angeles,1,2024,UNESCO,"The 20th-Century Architecture of Frank Lloyd Wright includes Hollyhock House, in LA County. Inscribed by UNESCO in 2019. See https://whc.unesco.org/en/list/1496/maps/; https://whc.unesco.org/en/list/"
Melbourne,1,2024,Heritage Victoria,Royal Exhibition Building
Milan,1,,Supplied by City,
Nanjing,1,2024,"Nanjing Culture and Tourism Bureau 
南京市文旅局",
New York,2 - Statue of Liberty and The 20th-Century Architecture of Frank Lloyd Wright,2023,UNESCO,https://whc.unesco.org/en/list/?search=new+york&components=1&order=country
Oslo,0,2024,UN Association of Norway,https://fn.no/unesco/unesco-steder-i-norge
Paris,5,2024,Supplied by City,"Château de Versailles, Château de Fontainebleau, Provins, Villa Savoye, Les rives de la Seine (Paris)"
Seoul,3,2023,UNESCO,1) UNESCO and Heritage (UNESCO Korean Committee) (https://heritage.unesco.or.kr/?_gl=1%2A1oxuve8%2A_ga%2ANTIwNzE3ODg5LjE3NDMzMzIyNzU.%2A_ga_RJNJPV5397%2AMTc0MzMzMjI3NC4xLjAuMTc0MzMzMjI3NC4wLjAuMA..%2A_ga_MWPJ6J6KGN%2AMTc0MzMzMjI3NC4xLjAuMTc0MzMzMjI3NC42MC4wLjA.)
Stockholm,1,2023,UNESCO,UNESCO World Heritage Centre - World Heritage List
Sydney,2,2024,UNESCO,
Taipei,0,2024,Supplied by City,
Tokyo,2,2024,Ministry of Foreign Affairs,"https://www.mofa.go.jp/mofaj/gaiko/culture/kyoryoku/unesco/isan/world/isan_2.html; ""Properties listed on the World Heritage List of Japan"""
Vienna,2,2024,UNESCO,https://en.wikipedia.org/wiki/List_of_World_Heritage_Sites_in_Austria
Warsaw,1,2024,UNESCO,https://whc.unesco.org/en/list/30
